,0
you,211434
i,198497
the,183777
to,119939
and,116479
a,106934
me,101539
it,77230
my,76434
in,64087
love,54589
on,54548
that,52589
your,51002
i'm,49235
of,47108
be,42599
all,40071
don't,39693
know,36682
for,36598
oh,35418
so,34859
is,33769
we,33746
just,32825
like,32074
do,31758
baby,31111
but,30506
no,29596
it's,28713
with,28665
when,27717
up,27298
got,26798
yeah,26584
can,25552
what,25536
get,25039
now,24296
this,23874
if,22755
you're,21594
go,20659
one,19413
out,18984
down,18904
time,18354
come,18094
can't,17691
never,17596
she,17231
want,17057
was,17008
let,16262
make,16148
say,16132
see,16130
have,16090
gonna,15621
way,15585
i'll,14851
girl,14831
her,14774
they,14503
are,13988
wanna,13956
take,13932
not,13797
back,13697
right,13274
how,12864
at,12538
need,12455
will,12431
from,12130
feel,12041
heart,11888
night,11863
tell,11719
there,11389
ain't,11377
he,11205
little,10957
as,10855
i've,10819
been,10686
away,10629
'cause,10609
here,10211
good,10189
more,9957
life,9920
that's,9913
man,9885
day,9816
could,9756
give,9717
about,9253
hey,8943
too,8870
by,8852
keep,8473
think,8402
only,8380
la,8293
then,8278
said,8271
every,8194
where,8154
why,8067
some,8038
ooh,7984
world,7913
there's,7776
well,7773
around,7542
long,7525
through,7212
who,7212
won't,7163
ever,7147
or,7085
had,7076
over,7063
look,7035
again,6930
still,6675
would,6507
gotta,6394
our,6344
always,6237
mind,6211
eyes,6186
hold,6172
find,6167
were,6034
she's,6015
home,5990
we're,5861
really,5804
ya,5644
tonight,5635
better,5588
much,5518
thing,5489
things,5397
us,5218
his,5187
gone,5136
stop,5120
put,5073
you'll,5001
him,4939
them,4926
off,4924
let's,4891
hear,4815
am,4802
dance,4800
turn,4772
leave,4707
you've,4697
try,4685
stay,4679
boy,4647
i'd,4632
mine,4575
than,4557
show,4467
call,4441
believe,4437
an,4429
na,4421
nothing,4387
run,4383
everything,4362
before,4346
another,4327
yes,4307
made,4288
new,4233
live,4213
sweet,4205
alone,4176
please,4169
something,4135
real,4070
cause,4057
even,4050
without,4042
into,4016
true,4003
did,3972
bad,3881
rock,3876
hard,3862
people,3858
ah,3806
should,3765
walk,3762
old,3754
two,3726
last,3725
these,3708
cry,3647
da,3631
light,3570
wrong,3564
together,3564
someone,3525
he's,3505
going,3456
inside,3454
play,3445
hand,3436
kiss,3402
face,3398
same,3383
left,3366
talk,3351
name,3340
high,3329
money,3260
break,3255
crazy,3252
head,3235
didn't,3223
everybody,3206
lonely,3199
big,3185
dream,3153
place,3122
feeling,3116
fall,3088
we'll,3051
uh,3036
enough,3029
other,3025
care,3010
touch,2988
woman,2984
'em,2983
forever,2981
girls,2918
free,2915
change,2913
maybe,2907
thought,2903
song,2896
sun,2866
what's,2844
alright,2830
remember,2830
move,2826
has,2805
while,2792
best,2787
soul,2782
stand,2769
bring,2756
rain,2752
whoa,2750
somebody,2750
side,2748
start,2730
shake,2728
/>,2703
found,2698
told,2693
myself,2685
nigga,2682
wait,2678
knew,2676
might,2674
body,2672
help,2670
nobody,2657
end,2634
used,2629
music,2627
must,2602
work,2570
shit,2545
sure,2539
sing,2532
lost,2530
those,2527
dreams,2515
done,2510
fire,2497
close,2495
hot,2483
hands,2480
came,2469
ride,2461
blue,2441
own,2440
makes,2438
young,2429
looking,2425
comes,2408
town,2407
because,2405
arms,2397
till,2395
days,2379
times,2376
wish,2356
first,2351
roll,2315
door,2302
mean,2299
friends,2297
bitch,2280
goes,2278
pretty,2245
hit,2218
lose,2212
sometimes,2210
forget,2208
else,2199
friend,2198
far,2184
miss,2184
ready,2180
words,2177
happy,2176
after,2162
fool,2157
god,2153
kind,2153
fly,2148
loving,2142
doo,2137
waiting,2134
any,2129
took,2120
coming,2118
tears,2113
beat,2106
watch,2102
their,2100
hurt,2100
once,2098
may,2093
smile,2084
whole,2082
die,2079
each,2071
yo,2064
understand,2053
fine,2051
many,2049
sky,2042
hope,2039
honey,2023
living,2019
anything,2009
fuck,1998
heard,1983
morning,1981
cold,1960
lovin',1954
pain,1952
until,1950
goodbye,1949
matter,1928
listen,1926
'bout,1911
mama,1902
though,1896
party,1895
round,1887
ha,1886
yourself,1864
goin',1851
deep,1844
strong,1836
seen,1831
knows,1815
chance,1814
game,1794
today,1793
since,1792
easy,1784
late,1781
guess,1767
line,1767
lord,1766
heaven,1755
they're,1751
loved,1730
getting,1720
trying,1719
open,1712
lady,1712
bit,1706
lot,1690
ask,1685
along,1667
couldn't,1659
next,1658
lie,1647
we've,1642
nothin',1641
road,1638
black,1627
feels,1623
gon',1614
babe,1614
niggas,1602
went,1594
sleep,1593
darling,1590
gave,1590
boys,1586
behind,1568
fight,1563
house,1559
lights,1558
saw,1558
feet,1549
hide,1546
city,1543
wonder,1538
tight,1538
street,1529
very,1526
lookin',1511
huh,1508
lover,1504
floor,1496
set,1486
years,1484
falling,1480
seems,1472
sound,1455
thinking,1455
running,1450
wanted,1436
low,1435
wild,1432
lay,1429
fun,1429
you'd,1423
shine,1420
slow,1417
step,1413
'til,1413
cool,1407
part,1406
feelin',1405
hair,1402
chorus,1401
wouldn't,1394
o,1394
ass,1374
doing,1371
room,1371
tried,1365
dark,1362
summer,1361
such,1353
y'all,1352
wants,1351
red,1350
gets,1347
boom,1341
who's,1341
takes,1336
white,1331
gettin',1328
lips,1327
broken,1322
beautiful,1315
top,1309
fast,1304
stars,1299
air,1299
does,1298
making,1291
reason,1287
hell,1284
wind,1284
under,1283
bye,1281
lyrics,1272
moment,1270
loves,1267
sad,1262
alive,1260
ba,1255
wake,1255
damn,1253
check,1253
doesn't,1247
three,1246
meet,1246
|,1245
soon,1233
save,1233
star,1233
hate,1228
talking,1226
comin',1222
doin',1221
word,1215
moon,1211
sorry,1190
holding,1189
being,1189
above,1185
tomorrow,1181
talkin',1179
nights,1177
daddy,1174
u,1167
lies,1166
apart,1163
tryin',1160
both,1159
car,1158
started,1151
dancing,1147
anymore,1145
says,1133
walking,1130
bed,1129
truth,1129
throw,1128
met,1126
drive,1116
pull,1115
ohh,1108
ground,1107
blow,1104
water,1102
drop,1102
pay,1097
full,1096
felt,1094
born,1093
yet.,1093
its,1092
catch,1091
control,1086
jump,1086
promise,1085
sit,1083
seem,1076
standing,1067
de,1067
ring,1065
afraid,1064
turned,1059
angel,1058
guy,1057
keeps,1048
livin',1048
straight,1047
somewhere,1047
ho,1043
child,1030
magic,1023
nice,1015
drink,1013
number,1012
yours,1000
hearts,999
pop,998
river,997
spend,995
needs,995
use,993
somethin',993
an',993
learn,990
eye,988
mmm,988
treat,986
between,983
share,983
saying,978
whatever,972
caught,965
okay,964
follow,963
rest,961
tired,960
four,959
phone,957
front,955
hang,955
wasn't,944
yea,943
minute,943
thank,942
worry,941
2,929
woah,928
warm,927
woo,925
gold,924
sunshine,921
bet,920
meant,917
club,916
mad,915
looks,914
send,908
crying,904
belong,903
blame,901
someday,901
near,901
burning,901
gimme,901
everyone,897
swear,897
i'ma,887
higher,884
runnin',878
ma,875
closer,873
reach,868
called,867
half,865
sea,864
past,863
perfect,861
dead,860
power,853
thinkin',851
burn,849
calling,849
five,848
&,844
ooo,842
sugar,841
bright,840
radio,837
looked,834
pray,833
walked,832
broke,827
men,824
fell,823
buy,822
sexy,821
most,820
brother,818
playing,818
win,817
wall,816
she'll,814
e,814
'round,812
wit,811
you.,809
glad,808
grow,806
c'mon,806
worth,802
giving,801
known,799
upon,799
miscellaneous,799
tear,799
different,796
trust,793
telling,792
outside,791
funky,791
oo,790
wear,787
di,787
ice,786
...,782
streets,781
taking,781
shot,780
everyday,779
pass,779
boogie,778
voice,777
singing,775
across,773
everywhere,772
window,771
hello,770
kids,768
breath,766
blind,765
push,764
leaving,764
special,761
story,756
trouble,756
wine,756
knees,755
clear,753
son,753
kinda,753
land,751
moving,750
mother,748
king,748
cut,747
funny,747
t,747
me.,745
act,744
sight,743
dirty,741
pick,741
isn't,740
country,740
shoes,739
finally,737
children,737
kick,737
dog,734
shame,733
dear,731
ay,731
million,729
school,728
second,727
yet,727
doubt,727
laugh,724
here's,720
read,720
count,716
fade,716
breathe,715
kill,711
train,711
everybody's,711
peace,709
loud,708
smoke,708
watching,706
lovers,697
somehow,697
lucky,693
joy,692
heat,690
que,689
bop,688
sign,688
anyone,687
fear,685
earth,684
darlin',682
knock,680
year,679
taste,678
bitches,678
b,672
gun,670
ways,669
dreaming,667
nowhere,665
style,665
clothes,662
already,662
means,661
eat,660
changed,658
middle,658
rhythm,657
y,657
lead,655
makin',655
yesterday,654
sex,654
band,652
green,650
carry,649
picture,647
cried,646
losing,645
empty,645
wide,643
pride,638
ahead,637
almost,637
great,636
hoo,635
happen,633
ten,631
fill,627
scared,627
needed,627
bom,624
love's,623
mountain,622
faith,621
miles,617
repeat,617
breaking,616
hurts,616
whenever,616
dum,616
rather,614
memories,612
single,612
stone,612
eh,611
